ID,Make,Model,Year,Trim,Trim,Description,Price,Colors exterior,Colors interior,Image URL,Body type,Length (in),Width (in),Height (in),Wheelbase (in),Curb weight (lbs),Gross weight (lbs),Maximum payload (lbs),Maximum towing capacity (lbs),Cylinders,Engine size (l),Horsepower (HP),Horsepower (rpm),Torque (ft-lbs),Torque (rpm),Valves,Valve timing,Cam type,Drive type,Transmission,Engine type,Fuel type,Fuel tank capacity (gal),Combined MPG,EPA mileage (mpg),Range (miles),Front head room (in),Front hip room (in),Front leg room (in),Front shoulder room (in),Rear head room (in),Rear hip room (in),Rear leg room (in),Rear shoulder room (in),Front track (in),Rear track (in),Ground clearance (in),Angle of approach (degrees),Angle of departure (degrees),Turning circle (ft),Drag coefficient (Cd),EPA interior volume (cu ft),Cargo capacity (cu ft),Maximum cargo capacity (cu ft),Basic,Drivetrain,Roadside,Rust,Free maintenance,Hybrid component,EV battery,Front seats,Rear seats,Power features,Instrumentation,Convenience,Comfort,Memorized settings,In car entertainment,Telematics,Roof and glass,Body,Truck features,Tires and wheels,Doors,Towing and hauling,Safety features,Packages,Exterior options,Interior options,Mechanical options,Domestic / imported,Country of origin,Car classification,Platform code / generation number
102,BMW,3 Series,1994,325i 4dr Sedan,325i - Sedan,(2.5L 6-cyl. 5-speed Manual),,Samoa Blue Metallic();Morea Green Metallic();Alpine White II();Samana Beige Metallic();Cashmere Beige Metallic();Oxford Green Metallic();Diamond Black Metallic();Jet Black();Arctic Gray Metallic();Mauritius Blue Metallic();Arctic Silver Metallic();Sterling Silver Metallic();Granite Silver Metallic();Orient Blue Metallic();Brocade Red Metallic();Calypso Red Metallic();Boston Green Metallic();Brilliant Red();,,,Sedan,174.5,66.8,54.8,106.3,3086,,,,I6,2.5,189,5900,181,4200,,,,rear wheel drive,5-speed manual,gas,regular unleaded,17.2,20,17/26 mpg,292.4/447.2 mi.,37.8,,41.1,53.5,37.3,,34,53.3,,,,,,34.1,,,10.3,,,,,,,,,,,,,,,,,,,,,,,, N ; N head airbags; N side-mounted airbags; O ;,,,,,Imported,Germany,Compact car,E36
106,BMW,3 Series,1994,318is 2dr Coupe,318is - Coupe,(1.8L 4-cyl. 5-speed Manual),,Oxford Green Metallic();Calypso Red Metallic();Jet Black();Samana Beige Metallic();Mauritius Blue Metallic();Diamond Black Metallic();Granite Silver Metallic();Cashmere Beige Metallic();Sterling Silver Metallic();Boston Green Metallic();Alpine White II();Orient Blue Metallic();Morea Green Metallic();Arctic Silver Metallic();Samoa Blue Metallic();Brilliant Red();Arctic Gray Metallic();Brocade Red Metallic();,,,Coupe,174.5,67.3,53.8,106.3,2866,,,,I4,1.8,138,6000,129,4500,,,,rear wheel drive,5-speed manual,gas,regular unleaded,17.2,22,19/27 mpg,326.8/464.4 mi.,36.7,,41.2,53.2,35.9,,32.7,52.1,,,,,,34.1,,,9.2,,,,,,,,,,,,,,,,,,,,,,,, N ; N ; N head airbags; N side-mounted airbags;,,,,,Imported,Germany,Compact car,E36
110,BMW,3 Series,1994,325is 2dr Coupe,325is - Coupe,(2.5L 6-cyl. 5-speed Manual),,Mauritius Blue Metallic();Arctic Gray Metallic();Arctic Silver Metallic();Sterling Silver Metallic();Calypso Red Metallic();Jet Black();Cashmere Beige Metallic();Alpine White II();Boston Green Metallic();Brocade Red Metallic();Samana Beige Metallic();Morea Green Metallic();Samoa Blue Metallic();Brilliant Red();Orient Blue Metallic();Diamond Black Metallic();Oxford Green Metallic();Granite Silver Metallic();,,,Coupe,174.5,67.3,53.8,106.3,3086,,,,I6,2.5,189,5900,181,4200,,,,rear wheel drive,5-speed manual,gas,regular unleaded,17.2,20,17/26 mpg,292.4/447.2 mi.,36.7,,41.2,53.2,35.9,,32.7,52.1,,,,,,34.1,,,9.2,,,,,,,,,,,,,,,,,,,,,,,, N ; N head airbags; N side-mounted airbags; O ;,,,,,Imported,Germany,Compact car,E36
17321,BMW,3 Series,1998,318i 4dr Sedan,318i - Sedan,(1.9L 4-cyl. 5-speed Manual),,"Cosmos Black Metallic(0,0,0);Titan Silver Metallic();Arctic Silver Metallic(0,155,161);Sierra Red Pearl Metallic();Fern Green Pearl Metallic();Black II(0,0,0);Madeira Black Metallic();Morea Green Metallic();Aegean Blue();Avus Blue Pearl Metallic();Kiruna Violett Pearl Metallic();Alpine White III(0,255,255);Ascot Green Metallic();Bright Red(0,14,5);Boston Green Metallic();Imola Red(0,40,26);",,,Sedan,174.5,66.9,54.8,106.3,2954,,,,I4,1.9,138,6000,133,4300,,,,rear wheel drive,5-speed manual,gas,regular unleaded,16.4,24,20/29 mpg,328.0/475.6 mi.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, N ; N head airbags; S ; S side-mounted airbags;,,,,,Imported,Germany,Compact car,E36
17326,BMW,3 Series,1998,328i 4dr Sedan,328i - Sedan,(2.8L 6-cyl. 5-speed Manual),,"Sierra Red Pearl Metallic();Madeira Black Metallic();Kiruna Violett Pearl Metallic();Arctic Silver Metallic(0,155,161);Black II(0,0,0);Imola Red(0,40,26);Avus Blue Pearl Metallic();Bright Red(0,14,5);Ascot Green Metallic();Aegean Blue();Cosmos Black Metallic(0,0,0);Fern Green Pearl Metallic();Morea Green Metallic();Boston Green Metallic();Alpine White III(0,255,255);Titan Silver Metallic();",,,Sedan,176,68.5,55.7,107.3,3197,,,,I6,2.8,193,5500,206,3500,,,,rear wheel drive,5-speed manual,gas,regular unleaded,16.6,20,17/26 mpg,282.2/431.6 mi.,38.4,,41.4,54.4,37.5,,34.6,54.2,,,4.2,,,34.1,,,10.7,,,,,,,,,,,,,,,,,,,,,,,, N ; N head airbags; S ; S side-mounted airbags;,,,,,Imported,Germany,Compact car,E36
17323,BMW,3 Series,1998,318ti 2dr Hatchback,318ti - 2dr Hatchback,(1.9L 4-cyl. 5-speed Manual),,"Arctic Silver Metallic(0,155,161);Bright Red(0,14,5);Avus Blue Pearl Metallic();Madeira Black Metallic();Aegean Blue();Kiruna Violett Pearl Metallic();Ascot Green Metallic();Boston Green Metallic();Alpine White III(0,255,255);Morea Green Metallic();Imola Red(0,40,26);Cosmos Black Metallic(0,0,0);Titan Silver Metallic();Sierra Red Pearl Metallic();Fern Green Pearl Metallic();Black II(0,0,0);",,,Hatchback,165.7,67.3,54.8,106.3,2778,,,,I4,1.9,138,6000,133,4300,,,,rear wheel drive,5-speed manual,gas,regular unleaded,14.5,24,20/29 mpg,290.0/420.5 mi.,38.7,,41.1,54,37,,32.6,53.1,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,, N ; N head airbags; O side-mounted airbags; S ;,,,,,Imported,Germany,Compact car,E36
17324,BMW,3 Series,1998,323i 2dr Convertible,323i - Convertible,(2.5L 6-cyl. 5-speed Manual),,"Morea Green Metallic();Aegean Blue();Ascot Green Metallic();Imola Red(0,40,26);Fern Green Pearl Metallic();Cosmos Black Metallic(0,0,0);Titan Silver Metallic();Sierra Red Pearl Metallic();Madeira Black Metallic();Black II(0,0,0);Arctic Silver Metallic(0,155,161);Avus Blue Pearl Metallic();Bright Red(0,14,5);Kiruna Violett Pearl Metallic();Alpine White III(0,255,255);Boston Green Metallic();",,,Convertible,174.5,67.3,53.1,106.3,3296,,,,I6,2.5,168,5500,181,3950,,,,rear wheel drive,5-speed manual,gas,regular unleaded,16.4,21,18/27 mpg,295.2/442.8 mi.,38.1,,41.2,53.2,36.3,,28.1,43.6,,,,,,34.1,,,8.9,,,,,,,,,,,,,,,,,,,,,,,, N ; N head airbags; S ; S side-mounted airbags;,,,,,Imported,Germany,Compact car,E36
17328,BMW,3 Series,1998,328i 2dr Convertible,328i - Convertible,(2.8L 6-cyl. 5-speed Manual),,"Imola Red(0,40,26);Avus Blue Pearl Metallic();Bright Red(0,14,5);Cosmos Black Metallic(0,0,0);Aegean Blue();Morea Green Metallic();Fern Green Pearl Metallic();Ascot Green Metallic();Boston Green Metallic();Alpine White III(0,255,255);Black II(0,0,0);Sierra Red Pearl Metallic();Titan Silver Metallic();Madeira Black Metallic();Kiruna Violett Pearl Metallic();Arctic Silver Metallic(0,155,161);",,,Convertible,174.5,67.3,53.1,106.3,3395,,,,I6,2.8,190,5300,206,3950,,,,rear wheel drive,5-speed manual,gas,regular unleaded,16.4,20,17/26 mpg,278.8/426.4 mi.,38.1,,41.2,53.2,36.3,,28.1,43.6,,,,,,34.1,,,8.9,,,,,,,,,,,,,,,,,,,,,,,, N ; N head airbags; S ; S side-mounted airbags;,,,,,Imported,Germany,Compact car,E36
17325,BMW,3 Series,1998,323is 2dr Coupe,323is - Coupe,(2.5L 6-cyl. 5-speed Manual),,"Fern Green Pearl Metallic();Arctic Silver Metallic(0,155,161);Avus Blue Pearl Metallic();Bright Red(0,14,5);Ascot Green Metallic();Black II(0,0,0);Cosmos Black Metallic(0,0,0);Aegean Blue();Morea Green Metallic();Kiruna Violett Pearl Metallic();Alpine White III(0,255,255);Boston Green Metallic();Imola Red(0,40,26);Titan Silver Metallic();Sierra Red Pearl Metallic();Madeira Black Metallic();",,,Coupe,174.5,67.3,53.8,106.3,3075,,,,I6,2.5,168,5500,181,3950,,,,rear wheel drive,5-speed manual,gas,regular unleaded,16.4,21,18/27 mpg,295.2/442.8 mi.,37.8,,41.2,53.2,36.6,,32.7,52.1,,,,,,34.1,,,9.2,,,,,,,,,,,,,,,,,,,,,,,, N ; N head airbags; S ; S side-mounted airbags;,,,,,Imported,Germany,Compact car,E36
17330,BMW,3 Series,1998,328is 2dr Coupe,328is - Coupe,(2.8L 6-cyl. 5-speed Manual),,"Cosmos Black Metallic(0,0,0);Black II(0,0,0);Morea Green Metallic();Fern Green Pearl Metallic();Ascot Green Metallic();Aegean Blue();Alpine White III(0,255,255);Sierra Red Pearl Metallic();Titan Silver Metallic();Madeira Black Metallic();Kiruna Violett Pearl Metallic();Arctic Silver Metallic(0,155,161);Avus Blue Pearl Metallic();Imola Red(0,40,26);Boston Green Metallic();Bright Red(0,14,5);",,,Coupe,174.5,67.3,53.8,106.3,3142,,,,I6,2.8,190,5300,206,3950,,,,rear wheel drive,5-speed manual,gas,regular unleaded,16.4,20,17/26 mpg,278.8/426.4 mi.,37.8,,41.2,53.2,36.6,,32.7,52.1,,,,,,34.1,,,9.2,,,,,,,,,,,,,,,,,,,,,,,, N ; N head airbags; S ; S side-mounted airbags;,,,,,Imported,Germany,Compact car,E36
17341,BMW,3 Series,1998,M3 4dr Sedan,M3 - Sedan,(3.2L 6-cyl. 5-speed Manual),,"Madeira Black Metallic();Ascot Green Metallic();Techno Violet Metallic();Boston Green Metallic();Cosmos Black Metallic(0,0,0);Avus Blue Pearl Metallic();Arctic Silver Metallic(0,155,161);Sierra Red Pearl Metallic();Morea Green Metallic();Boston Green Metallic();Estoril Blue Metallic();Bright Red(0,14,5);Alpine White(0,255,255);Kiruna Violett Pearl Metallic();Alpine White III(0,255,255);Cosmos Black Metallic(0,0,0);Imola Red(0,40,26);Titanium Silver Metallic();Aegean Blue();Arctic Silver Metallic(0,155,161);Fern Green Pearl Metallic();Bright Red(0,14,5);Dakar Yellow 2();Black II(0,0,0);Titan Silver Metallic();",,,Sedan,174.5,66.9,53.7,107.3,3175,,,,I6,3.2,240,6000,236,3800,,,,rear wheel drive,5-speed manual,gas,regular unleaded,16.4,21,18/26 mpg,295.2/426.4 mi.,38.1,,41.4,54.4,37.3,,34.6,54.2,,,,,,34.1,,,10.7,,,,,,,,,,,,,,,,,,,,,,,, N ; N head airbags; S ; S side-mounted airbags;,,,,,Imported,Germany,Compact car,E36
17340,BMW,3 Series,1998,M3 2dr Coupe,M3 - Coupe,(3.2L 6-cyl. 5-speed Manual),,"Fern Green Pearl Metallic();Bright Red(0,14,5);Dakar Yellow 2();Bright Red(0,14,5);Black II(0,0,0);Titanium Silver Metallic();Madeira Black Metallic();Kiruna Violett Pearl Metallic();Sierra Red Pearl Metallic();Imola Red(0,40,26);Alpine White III(0,255,255);Ascot Green Metallic();Titan Silver Metallic();Morea Green Metallic();Cosmos Black Metallic(0,0,0);Techno Violet Metallic();Boston Green Metallic();Boston Green Metallic();Arctic Silver Metallic(0,155,161);Aegean Blue();Cosmos Black Metallic(0,0,0);Avus Blue Pearl Metallic();Alpine White(0,255,255);Estoril Blue Metallic();",,,Coupe,174.5,67.3,52.6,106.3,3175,,,,I6,3.2,240,6000,236,3800,,,,rear wheel drive,5-speed manual,gas,regular unleaded,16.4,21,18/26 mpg,295.2/426.4 mi.,37.8,,41.2,53.2,36.6,,32.7,52.1,,,,,,34.1,,,9.2,,,,,,,,,,,,,,,,,,,,,,,, N ; N head airbags; S ; S side-mounted airbags;,,,,,Imported,Germany,Compact car,E36
13051,BMW,3 Series,1998,M3 2dr Convertible,M3 - Convertible,(3.2L 6-cyl. 5-speed Manual),,"Cosmos Black Metallic(0,0,0);Estoril Blue Metallic();Arctic Silver Metallic(0,155,161);Aegean Blue();Alpine White(0,255,255);Avus Blue Pearl Metallic();Boston Green Metallic();Dakar Yellow 2();Techno Violet Metallic();Bright Red(0,14,5);Black II(0,0,0);Titanium Silver Metallic();Fern Green Pearl Metallic();Alpine White III(0,255,255);Bright Red(0,14,5);Ascot Green Metallic();Titan Silver Metallic();Sierra Red Pearl Metallic();Madeira Black Metallic();Imola Red(0,40,26);Kiruna Violett Pearl Metallic();Arctic Silver Metallic(0,155,161);Cosmos Black Metallic(0,0,0);Fern Green Metallic();Morea Green Metallic();",,,Convertible,174.5,67.3,52.6,106.3,3491,,,,I6,3.2,240,6000,236,3800,,,,rear wheel drive,5-speed manual,gas,regular unleaded,16.4,21,18/26 mpg,295.2/426.4 mi.,38.1,,,,37.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, N ; N head airbags; S ; S side-mounted airbags;,,,,,Imported,Germany,Compact car,E36
100003664,BMW,3 Series,2002,325i Rwd 4dr Sedan (2.5L 6cyl 5M),325i - Sedan,(2.5L 6-cyl. 5-speed Manual),27100,"Electric Red(169,36,39);Jet Black(0,0,0);Oxford Green Metallic(66,98,87);Orient Blue Metallic(30,94,130);Gray Green Metallic(170,183,174);Black Sapphire Metallic(0,0,0);Topaz Blue Metallic(58,85,115);Titanium Silver Metallic(192,192,192);Steel Gray Metallic(60,60,65);Alpine White(255,255,255);Steel Blue Metallic(75,78,92);","Black(0,0,0);Sand(191,147,98);Natural Brown(128,102,79);Gray(134,143,142);",https://media.ed.edmunds-media.com/bmw/3-series/2002/evox/2002_bmw_3-series_wagon_325xi_tds_evox_5_400.jpg;https://media.ed.edmunds-media.com/bmw/3-series/2002/evox/2002_bmw_3-series_wagon_325i_tds_evox_6_400.jpg;https://media.ed.edmunds-media.com/bmw/3-series/2002/oem/2002_bmw_3-series_convertible_330ci_a_oem_1_400.jpg;https://media.ed.edmunds-media.com/bmw/3-series/2000/oem/2000_bmw_3-series_wagon_323it_fq_oem_3_400.jpg;https://media.ed.edmunds-media.com/bmw/3-series/2000/oem/2000_bmw_3-series_coupe_328ci_rq_oem_1_400.jpg;https://media.ed.edmunds-media.com/bmw/3-series/2002/oem/2002_bmw_3-series_wagon_325xi_s_oem_1_400.jpg;https://media.ed.edmunds-media.com/bmw/3-series/2000/oem/2000_bmw_3-series_wagon_323it_i_oem_2_400.jpg;,Sedan,176,68.5,55.7,107.3,3219,,,,I6,2.5,184,6000,175,3500,24,Variable,Double overhead cam (DOHC),rear wheel drive,5-speed manual,gas,premium unleaded (required),16.6,21,18/27 mpg,298.8/448.2 mi.,38.4,,41.4,54.4,37.5,,34.6,54.2,57.9,58.4,,,,34.4,,,,,4 yr./ 50000 mi.,4 yr./ 50000 mi.,4 yr./ 50000 mi.,,3 yr./ 36000 mi.,,, Bucket front seats; Vinyl ;,Split-folding rear seatback;, 4 one-touch power windows; Remote keyless power door locks ;Heated mirrors;Power mirrors;, Tachometer ;, Cruise control ; Front cupholders; Front door pockets; Remote trunk release ; Speed-proportional power steering ; Tilt and telescopic steering wheel;Audio and cruise controls on steering wheel;, Front and rear reading lights ; Interior air filtration ; Leather steering wheel; Trunk light ;Cargo floor mats;Climate control;Dual illuminating vanity mirrors;,, 10 total speakers; Diversity antenna; Radio data system ;AM/FM CD-controller stereo;,, Rear defogger ;Variable intermittent wipers;,,, Alloy wheels; Fullsize matching spare tire;16 x 7.0 in. wheels;205/55R H tires;All season tires;Alloy spare wheel;,,, 2 front headrests; 2 rear headrests; Child seat anchors ; Daytime running lights ; Dual front side-mounted airbags; Electronic brakeforce distribution ; Engine immobilizer ; Front fog/driving lights ; Front head airbags; Front seatbelt pretensioners; Post-collision safety system ; Stability control ; Traction control ;4-wheel ABS;Emergency braking assist ;Front and rear ventilated disc brakes;Rear door child safety locks ;,,,,,Imported,Germany,Compact car,E46
100003670,BMW,3 Series,2002,330i Rwd 4dr Sedan (3.0L 6cyl 5M),330i - Sedan,(3.0L 6-cyl. 5-speed Manual),33990,"Electric Red(169,36,39);Jet Black(0,0,0);Oxford Green Metallic(66,98,87);Orient Blue Metallic(30,94,130);Gray Green Metallic(170,183,174);Black Sapphire Metallic(0,0,0);Topaz Blue Metallic(58,85,115);Titanium Silver Metallic(192,192,192);Steel Gray Metallic(60,60,65);Alpine White(255,255,255);Steel Blue Metallic(75,78,92);","Black(0,0,0);Sand(191,147,98);Natural Brown(128,102,79);Gray(134,143,142);",,Sedan,176,68.5,55.7,107.3,3285,,,,I6,3,225,5900,214,3500,24,Variable,Double overhead cam (DOHC),rear wheel drive,5-speed manual,gas,premium unleaded (required),16.6,22,18/27 mpg,298.8/448.2 mi.,38.4,,41.4,54.4,37.5,,34.6,54.2,57.9,58.4,,,,34.4,,,,,4 yr./ 50000 mi.,4 yr./ 50000 mi.,4 yr./ 50000 mi.,,3 yr./ 36000 mi.,,, 6 -way power driver seat; 6 -way power passenger seat; Bucket front seats; Height adjustable driver seat; Height adjustable passenger seat; Vinyl ;,Split-folding rear seatback;, 4 one-touch power windows; Remote keyless power door locks ;Heated mirrors;Power mirrors;Reverse tilt passenger mirror provides curb view when vehicle in reverse;, Tachometer ; Trip computer ;, Cruise control ; Front cupholders; Front door pockets; Front seatback storage ; Remote trunk release ; Speed-proportional power steering ; Tilt and telescopic steering wheel;Audio and cruise controls on steering wheel;, Front and rear reading lights ; Interior air filtration ; Leather steering wheel; Trunk light ;Cargo floor mats;Climate control;Dual illuminating vanity mirrors;,Memorized settings for 3 drivers;, 12 total speakers; 2 subwoofer(s); Diversity antenna; Harman/kardon premium brand speakers; Harman/kardon premium brand stereo system; Radio data system ;AM/FM CD-controller stereo;,, Rear defogger ;Variable intermittent wipers;,,, Alloy wheels; Fullsize matching spare tire;17 x 7.0 in. wheels;205/50R H tires;All season tires;Alloy spare wheel;,,, 2 front headrests; 2 rear headrests; Child seat anchors ; Daytime running lights ; Dual front side-mounted airbags; Electronic brakeforce distribution ; Engine immobilizer ; Front fog/driving lights ; Front head airbags; Front seatbelt pretensioners; Post-collision safety system ; Stability control ; Traction control ;4-wheel ABS;Emergency braking assist ;Front and rear ventilated disc brakes;Rear door child safety locks ;,,,,,Imported,Germany,Compact car,E46
